ID,Field,Date,FIBBG000B9XRY4
1,Close,2023-01-03,124.2163
2,Close,2023-01-04,125.4975
3,Close,2023-01-05,124.1666
4,Close,2023-01-06,128.7352
5,Close,2023-01-09,129.2616
6,Close,2023-01-10,129.8377
7,Close,2023-01-11,132.5788
8,Close,2023-01-12,132.4994
9,Close,2023-01-13,133.8402
10,Close,2023-01-17,135.0121
11,Close,2023-01-18,134.2871
12,Close,2023-01-19,134.3467
13,Close,2023-01-20,136.9289
14,Close,2023-01-23,140.1468
15,Close,2023-01-24,141.5571
16,Close,2023-01-25,140.8917
17,Close,2023-01-26,142.9774
18,Close,2023-01-27,144.9339
19,Close,2023-01-30,142.0239
20,Close,2023-01-31,143.3051
21,Close,2023-02-01,144.4373
22,Close,2023-02-02,149.7905
23,Close,2023-02-03,153.4454
24,Close,2023-02-06,150.6943
25,Close,2023-02-07,153.5944
26,Close,2023-02-08,150.883
27,Close,2023-02-09,149.8402
28,Close,2023-02-10,150.2082
29,Close,2023-02-13,153.0332
30,Close,2023-02-14,152.3866
31,Close,2023-02-15,154.5053
32,Close,2023-02-16,152.8939
33,Close,2023-02-17,151.7401
34,Close,2023-02-21,147.6917
35,Close,2023-02-22,148.1194
36,Close,2023-02-23,148.6068
37,Close,2023-02-24,145.9311
38,Close,2023-02-27,147.1346
39,Close,2023-02-28,146.6273
40,Close,2023-03-01,144.5385
41,Close,2023-03-02,145.1353
42,Close,2023-03-03,150.2281
43,Close,2023-03-06,153.0133
44,Close,2023-03-07,150.7951
45,Close,2023-03-08,152.0584
46,Close,2023-03-09,149.7905
47,Close,2023-03-10,147.7116
48,Close,2023-03-13,149.6711
49,Close,2023-03-14,151.7798
50,Close,2023-03-15,152.1777
51,Close,2023-03-16,155.0225
52,Close,2023-03-17,154.177
53,Close,2023-03-20,156.5643
54,Close,2023-03-21,158.4343
55,Close,2023-03-22,156.992
56,Close,2023-03-23,158.0862
57,Close,2023-03-24,159.3992
58,Close,2023-03-27,157.4396
59,Close,2023-03-28,156.813
60,Close,2023-03-29,159.9164
61,Close,2023-03-30,161.498
62,Close,2023-03-31,164.0245
63,Close,2023-04-03,165.2877
64,Close,2023-04-04,164.7506
65,Close,2023-04-05,162.8905
66,Close,2023-04-06,163.7858
67,Close,2023-04-10,161.1697
68,Close,2023-04-11,159.9463
69,Close,2023-04-12,159.25
70,Close,2023-04-13,164.681
71,Close,2023-04-14,164.3328
72,Close,2023-04-17,164.3527
73,Close,2023-04-18,165.5861
74,Close,2023-04-19,166.74
75,Close,2023-04-20,165.7652
76,Close,2023-04-21,164.1438
77,Close,2023-04-24,164.4522
78,Close,2023-04-25,162.9005
79,Close,2023-04-26,162.8905
80,Close,2023-04-27,167.5158
81,Close,2023-04-28,168.7791
82,Close,2023-05-01,168.6896
83,Close,2023-05-02,167.6452
84,Close,2023-05-03,166.5609
85,Close,2023-05-04,164.9098
86,Close,2023-05-05,172.6485
87,Close,2023-05-08,172.5788
88,Close,2023-05-09,170.858
89,Close,2023-05-10,172.6335
90,Close,2023-05-11,172.8275
91,Close,2023-05-12,171.8912
92,Close,2023-05-15,171.3932
93,Close,2023-05-16,171.3932
94,Close,2023-05-17,172.0107
95,Close,2023-05-18,174.3614
96,Close,2023-05-19,174.471
97,Close,2023-05-22,173.5148
98,Close,2023-05-23,170.8852
99,Close,2023-05-24,171.1641
100,Close,2023-05-25,172.3095
101,Close,2023-05-26,174.7399
102,Close,2023-05-30,176.6026
103,Close,2023-05-31,176.5528
104,Close,2023-06-01,179.3816
105,Close,2023-06-02,180.2382
106,Close,2023-06-05,178.8736
107,Close,2023-06-06,178.5051
108,Close,2023-06-07,177.1205
109,Close,2023-06-08,179.8597
110,Close,2023-06-09,180.2482
111,Close,2023-06-12,183.0671
112,Close,2023-06-13,182.5889
113,Close,2023-06-14,183.2264
114,Close,2023-06-15,185.2783
115,Close,2023-06-16,184.1926
116,Close,2023-06-20,184.2823
117,Close,2023-06-21,183.2364
118,Close,2023-06-22,186.2644
119,Close,2023-06-23,185.9457
120,Close,2023-06-26,184.5412
121,Close,2023-06-27,187.3203
122,Close,2023-06-28,188.5056
123,Close,2023-06-29,188.8442
124,Close,2023-06-30,193.207
125,Close,2023-07-03,191.703
126,Close,2023-07-05,190.5774
127,Close,2023-07-06,191.0555
128,Close,2023-07-07,189.93
129,Close,2023-07-10,187.8681
130,Close,2023-07-11,187.3402
131,Close,2023-07-12,189.0235
132,Close,2023-07-13,189.7905
133,Close,2023-07-14,189.9399
134,Close,2023-07-17,193.2269
135,Close,2023-07-18,192.968
136,Close,2023-07-19,194.3326
137,Close,2023-07-20,192.3703
138,Close,2023-07-21,191.185
139,Close,2023-07-24,191.9918
140,Close,2023-07-25,192.8584
141,Close,2023-07-26,193.7349
142,Close,2023-07-27,192.46
143,Close,2023-07-28,195.0597
144,Close,2023-07-31,195.6773
145,Close,2023-08-01,194.8356
146,Close,2023-08-02,191.8225
147,Close,2023-08-03,190.418
148,Close,2023-08-04,181.2741
149,Close,2023-08-07,178.1465
150,Close,2023-08-08,179.0928
151,Close,2023-08-09,177.4891
152,Close,2023-08-10,177.27
153,Close,2023-08-11,177.3298
154,Close,2023-08-14,178.9955
155,Close,2023-08-15,176.9907
156,Close,2023-08-16,176.113
157,Close,2023-08-17,173.5496
158,Close,2023-08-18,174.0383
159,Close,2023-08-21,175.3848
160,Close,2023-08-22,176.7712
161,Close,2023-08-23,180.6512
162,Close,2023-08-24,175.9234
163,Close,2023-08-25,178.1477
164,Close,2023-08-28,179.7236
165,Close,2023-08-29,183.6434
166,Close,2023-08-30,187.1643
167,Close,2023-08-31,187.3837
168,Close,2023-09-01,188.9696
169,Close,2023-09-05,189.209
170,Close,2023-09-06,182.4365
171,Close,2023-09-07,177.1004
172,Close,2023-09-08,177.7188
173,Close,2023-09-11,178.8957
174,Close,2023-09-12,175.8437
175,Close,2023-09-13,173.7591
176,Close,2023-09-14,175.2851
177,Close,2023-09-15,174.557
178,Close,2023-09-18,177.5093
179,Close,2023-09-19,178.6065
180,Close,2023-09-20,175.0357
181,Close,2023-09-21,173.4798
182,Close,2023-09-22,174.3376
183,Close,2023-09-25,175.6242
184,Close,2023-09-26,171.5149
185,Close,2023-09-27,169.9888
186,Close,2023-09-28,170.2482
187,Close,2023-09-29,170.7668
188,Close,2023-10-02,173.3003
189,Close,2023-10-03,171.9537
190,Close,2023-10-04,173.2105
191,Close,2023-10-05,174.4573
192,Close,2023-10-06,177.0306
193,Close,2023-10-09,178.5267
194,Close,2023-10-10,177.9282
195,Close,2023-10-11,179.3346
196,Close,2023-10-12,180.2422
197,Close,2023-10-13,178.3871
198,Close,2023-10-16,178.2574
199,Close,2023-10-17,176.6915
200,Close,2023-10-18,175.3848
201,Close,2023-10-19,175.0058
202,Close,2023-10-20,172.4325
203,Close,2023-10-23,172.5522
204,Close,2023-10-24,172.9911
205,Close,2023-10-25,170.6571
206,Close,2023-10-26,166.458
207,Close,2023-10-27,167.7846
208,Close,2023-10-30,169.8492
209,Close,2023-10-31,170.328
210,Close,2023-11-01,173.5197
211,Close,2023-11-02,177.1104
212,Close,2023-11-03,176.1927
213,Close,2023-11-06,178.7661
214,Close,2023-11-07,181.3494
215,Close,2023-11-08,182.4166
216,Close,2023-11-09,181.9378
217,Close,2023-11-10,186.1624
218,Close,2023-11-13,184.5645
219,Close,2023-11-14,187.2011
220,Close,2023-11-15,187.7704
221,Close,2023-11-16,189.4682
222,Close,2023-11-17,189.4483
223,Close,2023-11-20,191.206
224,Close,2023-11-21,190.397
225,Close,2023-11-22,191.0662
226,Close,2023-11-24,189.7279
227,Close,2023-11-27,189.5481
228,Close,2023-11-28,190.1573
229,Close,2023-11-29,189.1287
230,Close,2023-11-30,189.7079
231,Close,2023-12-01,190.9963
232,Close,2023-12-04,189.1886
233,Close,2023-12-05,193.1735
234,Close,2023-12-06,192.0749
235,Close,2023-12-07,194.0224
236,Close,2023-12-08,195.4606
237,Close,2023-12-11,192.9338
238,Close,2023-12-12,194.4619
239,Close,2023-12-13,197.7077
240,Close,2023-12-14,197.8575
241,Close,2023-12-15,197.3182
242,Close,2023-12-18,195.6404
243,Close,2023-12-19,196.689
244,Close,2023-12-20,194.5817
245,Close,2023-12-21,194.4319
246,Close,2023-12-22,193.3533
247,Close,2023-12-26,192.804
248,Close,2023-12-27,192.9038
249,Close,2023-12-28,193.3333
250,Close,2023-12-29,192.2846
